type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,combined_features,normalized_title
Movie,Barbie & Chelsea: The Lost Birthday,Cassi Simonds,"America Young, Cassidy Naber, Kirsten Day, Cassandra Morris, Lisa Fuson, Greg Chun, Benjamin Pronsky, Laila Berzins, Nakia Burrise, Jacob Craner",United States,"April 16, 2021",2021,TV-Y,60 min,Children & Family Movies,"when barbie’s sister chelsea thinks her birthday has been skipped, she hunts for a magic gem on a jungle island that will grant her wish to get it back.","when barbie’s sister chelsea thinks her birthday has been skipped, she hunts for a magic gem on a jungle island that will grant her wish to get it back. America Young, Cassidy Naber, Kirsten Day, Cassandra Morris, Lisa Fuson, Greg Chun, Benjamin Pronsky, Laila Berzins, Nakia Burrise, Jacob Craner Cassi Simonds",barbie & chelsea: the lost birthday
Movie,Crimson Peak,Guillermo del Toro,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam, Jim Beaver, Burn Gorman, Leslie Hope, Doug Jones, Jonathan Hyde, Bruce Gray","Canada, United States, Mexico","April 16, 2021",2015,R,119 min,"Horror Movies, Romantic Movies, Sci-Fi & Fantasy","after marrying a mysterious british aristocrat, a young heiress moves into his crumbling, creepy ancestral home and finds it conceals sinister secrets.","after marrying a mysterious british aristocrat, a young heiress moves into his crumbling, creepy ancestral home and finds it conceals sinister secrets. Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam, Jim Beaver, Burn Gorman, Leslie Hope, Doug Jones, Jonathan Hyde, Bruce Gray Guillermo del Toro",crimson peak
Movie,Doctor Bello,Tony Abulu,"Isaiah Washington, Vivica A. Fox, Jimmy Jean-Louis, Genevieve Nnaji, Stephanie Okereke, Justus Esiri, Ebbe Bassey, Jon Freda, Evan Brinkman",United States,"April 16, 2021",2013,TV-MA,96 min,"Dramas, International Movies",a troubled doctor sets out to save the life of a miracle worker who cured his cancer patient using an unprecedented and mysterious remedy.,"a troubled doctor sets out to save the life of a miracle worker who cured his cancer patient using an unprecedented and mysterious remedy. Isaiah Washington, Vivica A. Fox, Jimmy Jean-Louis, Genevieve Nnaji, Stephanie Okereke, Justus Esiri, Ebbe Bassey, Jon Freda, Evan Brinkman Tony Abulu",doctor bello
Movie,Four Sisters Before the Wedding,Mae Czarina Cruz,"Alexa Ilacad, Charlie Dizon, Gillian Vicencio, Belle Mariano, Dominic Ochoa, Carmina Villaroel, Irma Adlawan, Kakai Bautista, Cai Cortez, Jameson Blake, Joao Constancia, Jeremiah Lisbo, Clarence Delgado, Pinky Amador, Minnie Aguilar, Gigi De Lana, Toni Gonzaga, Bea Alonzo, Angel Locsin, Shaina Magdayao, Enchong Dee",Philippines,"April 16, 2021",2020,TV-MA,116 min,"Children & Family Movies, Comedies, Dramas","when their parents' marriage threatens to crumble, the teenage salazar siblings plot to reconcile them before their 20th wedding anniversary.","when their parents' marriage threatens to crumble, the teenage salazar siblings plot to reconcile them before their 20th wedding anniversary. Alexa Ilacad, Charlie Dizon, Gillian Vicencio, Belle Mariano, Dominic Ochoa, Carmina Villaroel, Irma Adlawan, Kakai Bautista, Cai Cortez, Jameson Blake, Joao Constancia, Jeremiah Lisbo, Clarence Delgado, Pinky Amador, Minnie Aguilar, Gigi De Lana, Toni Gonzaga, Bea Alonzo, Angel Locsin, Shaina Magdayao, Enchong Dee Mae Czarina Cruz",four sisters before the wedding
Movie,Into the Beat,Stefan Westerwelle,"Alexandra Pfeifer, Yalany Marschner, Trystan Pütter, Helen Schneider, Julius Nitschkoff, Dennis Kyere, Ina Geraldine Guy, Katrin Pollitt, Julia Strowski, Anton Wichers",Germany,"April 16, 2021",2020,TV-14,102 min,"Dramas, International Movies, Romantic Movies",a teen ballerina discovers hip-hop by chance and is faced with an impossible choice: does she follow her parents’ footsteps... or her newfound passion?,"a teen ballerina discovers hip-hop by chance and is faced with an impossible choice: does she follow her parents’ footsteps... or her newfound passion? Alexandra Pfeifer, Yalany Marschner, Trystan Pütter, Helen Schneider, Julius Nitschkoff, Dennis Kyere, Ina Geraldine Guy, Katrin Pollitt, Julia Strowski, Anton Wichers Stefan Westerwelle",into the beat
Movie,Rush,Ron Howard,"Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino, David Calder, Natalie Dormer, Stephen Mangan, Christian McKay, Alistair Petrie","United Kingdom, Germany, United States","April 16, 2021",2013,R,123 min,"Action & Adventure, Dramas, International Movies","in the 1970s, a rivalry propels race car drivers niki lauda and james hunt to fame and glory — until a horrible accident threatens to end it all.","in the 1970s, a rivalry propels race car drivers niki lauda and james hunt to fame and glory — until a horrible accident threatens to end it all. Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino, David Calder, Natalie Dormer, Stephen Mangan, Christian McKay, Alistair Petrie Ron Howard",rush
Movie,Synchronic,"Justin Benson, Aaron Moorhead","Anthony Mackie, Jamie Dornan, Katie Aselton, Ally Ioannides, Ramiz Monsef, Bill Oberst Jr.",United States,"April 16, 2021",2020,R,102 min,Thrillers,two paramedics begin to question their realities after coming across several bizarre deaths linked to a new narcotic with mind-bending effects.,"two paramedics begin to question their realities after coming across several bizarre deaths linked to a new narcotic with mind-bending effects. Anthony Mackie, Jamie Dornan, Katie Aselton, Ally Ioannides, Ramiz Monsef, Bill Oberst Jr. Justin Benson, Aaron Moorhead",synchronic
Movie,The Zookeeper's Wife,Niki Caro,"Jessica Chastain, Johan Heldenbergh, Daniel Brühl, Timothy Radford, Efrat Dor, Iddo Goldberg, Shira Haas, Michael McElhatton, Val Maloku, Goran Kostic","Czech Republic, United Kingdom, United States","April 16, 2021",2017,PG-13,127 min,Dramas,"when the nazis invade poland, warsaw zoo caretakers work with the underground resistance to save jews from the horrors of the third reich.","when the nazis invade poland, warsaw zoo caretakers work with the underground resistance to save jews from the horrors of the third reich. Jessica Chastain, Johan Heldenbergh, Daniel Brühl, Timothy Radford, Efrat Dor, Iddo Goldberg, Shira Haas, Michael McElhatton, Val Maloku, Goran Kostic Niki Caro",the zookeeper's wife
Movie,Time Trap,"Mark Dennis, Ben Foster","Andrew Wilson, Cassidy Gifford, Brianne Howey, Reiley McClendon, Olivia Draguicevich, Max Wright, Hans Marrero, Rich Skidmore, Chris Sturgeon, Gopal Bidari",United States,"April 16, 2021",2017,TV-14,88 min,"Action & Adventure, Sci-Fi & Fantasy","while searching for their missing archaeology professor, a group of students discovers a cave where time passes differently than it does on the surface.","while searching for their missing archaeology professor, a group of students discovers a cave where time passes differently than it does on the surface. Andrew Wilson, Cassidy Gifford, Brianne Howey, Reiley McClendon, Olivia Draguicevich, Max Wright, Hans Marrero, Rich Skidmore, Chris Sturgeon, Gopal Bidari Mark Dennis, Ben Foster",time trap
Movie,Tuesdays & Fridays,Taranveer Singh,"Anmol Thakeria Dhillon, Jhataleka, Niki Walia, Kamini Khanna, Zoa Morani, Nayan Shukla, Eklavyey Kashyap, Reem Shaikh",India,"April 16, 2021",2021,TV-14,106 min,"Comedies, Dramas, International Movies","to avoid the burden of commitment, a young lawyer and a writer agree to be romantic partners only two days a week. that won’t get complicated — right?","to avoid the burden of commitment, a young lawyer and a writer agree to be romantic partners only two days a week. that won’t get complicated — right? Anmol Thakeria Dhillon, Jhataleka, Niki Walia, Kamini Khanna, Zoa Morani, Nayan Shukla, Eklavyey Kashyap, Reem Shaikh Taranveer Singh",tuesdays & fridays
Movie,Dark City Beneath the Beat,TT The Artist,"Uneek, Mighty Mark, Tsu Terry, TT The Artist",United States,"April 15, 2021",2020,TV-MA,65 min,"Documentaries, Music & Musicals","in this documentary, tt the artist captures the irrepressible bounce and infectious beats of a baltimore club scene that demands to be seen and heard.","in this documentary, tt the artist captures the irrepressible bounce and infectious beats of a baltimore club scene that demands to be seen and heard. Uneek, Mighty Mark, Tsu Terry, TT The Artist TT The Artist",dark city beneath the beat
Movie,GANTZ:O,"Keiichi Sato, Yasushi Kawamura","Daisuke Ono, M・A・O, Tomohiro Kaku, Saori Hayami, Shuichi Ikeda, Kendo Kobayashi, Razor Ramon RG, Razor Ramon HG, Masane Tsukayama, Masaya Onosaka, Kenjiro Tsuda, Teruaki Ogawa, Hisanori Yoshida, Yuki Kaji",Japan,"April 15, 2021",2016,TV-MA,96 min,"Action & Adventure, Anime Features, Horror Movies",teams of recently deceased people who've been revived and given high-tech weapons must cooperate to defeat an army of monsters in tokyo and osaka.,"teams of recently deceased people who've been revived and given high-tech weapons must cooperate to defeat an army of monsters in tokyo and osaka. Daisuke Ono, M・A・O, Tomohiro Kaku, Saori Hayami, Shuichi Ikeda, Kendo Kobayashi, Razor Ramon RG, Razor Ramon HG, Masane Tsukayama, Masaya Onosaka, Kenjiro Tsuda, Teruaki Ogawa, Hisanori Yoshida, Yuki Kaji Keiichi Sato, Yasushi Kawamura",gantz:o
TV Show,Garth Brooks: The Road I’m On,Glenn Weiss,Garth Brooks,United States,"April 15, 2021",2019,TV-PG,1 Season,Docuseries,"revealing interviews and archive footage tell the story of garth brooks' humble beginnings, rise to fame and unprecedented impact on country music.","revealing interviews and archive footage tell the story of garth brooks' humble beginnings, rise to fame and unprecedented impact on country music. Garth Brooks Glenn Weiss",garth brooks: the road i’m on
Movie,Only Mine,Michael Civille,"Amber Midthunder, Brett Zimmerman, Chris Browning, Walter Fauntleroy, Claudia Ferri, Lorenzo James Henrie, Ellen Wroe, Ashley Holliday Tavares, Nancy Linehan Charles, Jonna Walsh",United States,"April 15, 2021",2019,TV-14,88 min,Thrillers,"after dating a charming cop who turns into an obsessive stalker, a small-town girl must save herself from his deadly ways.","after dating a charming cop who turns into an obsessive stalker, a small-town girl must save herself from his deadly ways. Amber Midthunder, Brett Zimmerman, Chris Browning, Walter Fauntleroy, Claudia Ferri, Lorenzo James Henrie, Ellen Wroe, Ashley Holliday Tavares, Nancy Linehan Charles, Jonna Walsh Michael Civille",only mine
Movie,Ride or Die,Ryuichi Hiroki,"Kiko Mizuhara, Honami Sato, Yoko Maki, Anne Suzuki, Tetsushi Tanaka, Sara Minami, Yui Uemura, Shinya Niiro, Shunsuke Tanaka, Setsuko Karasuma",Japan,"April 15, 2021",2021,TV-MA,143 min,"Dramas, International Movies, LGBTQ Movies","rei helps the woman she’s been in love with for years escape her abusive husband. while on the run, their feelings for each other catch fire.","rei helps the woman she’s been in love with for years escape her abusive husband. while on the run, their feelings for each other catch fire. Kiko Mizuhara, Honami Sato, Yoko Maki, Anne Suzuki, Tetsushi Tanaka, Sara Minami, Yui Uemura, Shinya Niiro, Shunsuke Tanaka, Setsuko Karasuma Ryuichi Hiroki",ride or die
Movie,The Master,Paul Thomas Anderson,"Joaquin Phoenix, Philip Seymour Hoffman, Amy Adams, Laura Dern, Kevin J. O'Connor, Jesse Plemons, Rami Malek, Christopher Evan Welch, Madisen Beaty, Ambyr Childers, Price Carson",United States,"April 15, 2021",2012,R,137 min,"Dramas, Independent Movies","a heavy-drinking loner finds some semblance of a family when he stumbles onto the ship of lancaster dodd, the charismatic leader of a new ""religion.""","a heavy-drinking loner finds some semblance of a family when he stumbles onto the ship of lancaster dodd, the charismatic leader of a new ""religion."" Joaquin Phoenix, Philip Seymour Hoffman, Amy Adams, Laura Dern, Kevin J. O'Connor, Jesse Plemons, Rami Malek, Christopher Evan Welch, Madisen Beaty, Ambyr Childers, Price Carson Paul Thomas Anderson",the master
Movie,Time Is Illmatic,One9,"Nasir 'Nas' Jones, Busta Rhymes, Pete Rock, Pharrell Williams, Q-Tip, Swizz Beatz, Alicia Keys, DJ Premier",United States,"April 15, 2021",2014,TV-MA,75 min,"Documentaries, Music & Musicals","providing a behind-the-scenes look at the making of nas's debut album, this documentary also delves into his deep connection to his new york roots.","providing a behind-the-scenes look at the making of nas's debut album, this documentary also delves into his deep connection to his new york roots. Nasir 'Nas' Jones, Busta Rhymes, Pete Rock, Pharrell Williams, Q-Tip, Swizz Beatz, Alicia Keys, DJ Premier One9",time is illmatic
Movie,Wave of Cinema: One Day We'll Talk About Today,Adriano Rudiman,"Isyana Sarasvati, Kunto Aji, Sisir Tanah, Chiki Fawzi, ARAH, Hindia, Ardhito Pramono, Rio Dewanto, Angga Dwimas Sasongko, Rachel Amanda",,"April 15, 2021",2020,TV-14,71 min,"Documentaries, International Movies, Music & Musicals","delve into a musical concert and relive moments from ""one day we'll talk about today,"" a film about family and intergenerational trauma.","delve into a musical concert and relive moments from ""one day we'll talk about today,"" a film about family and intergenerational trauma. Isyana Sarasvati, Kunto Aji, Sisir Tanah, Chiki Fawzi, ARAH, Hindia, Ardhito Pramono, Rio Dewanto, Angga Dwimas Sasongko, Rachel Amanda Adriano Rudiman",wave of cinema: one day we'll talk about today
Movie,Zoot Suit,Luis Valdez,"Daniel Valdez, Edward James Olmos, Charles Aidman, Tyne Daly, John Anderson, Abel Franco, Mike Gomez, Francis X. McCarthy, Alma Martínez, Lupe Ontiveros, Tony Plana",United States,"April 15, 2021",1981,R,103 min,"Cult Movies, Dramas, Music & Musicals","in this drama based on a 1940s trial, the members of a mexican american gang are sentenced to san quentin for a murder they may not have committed.","in this drama based on a 1940s trial, the members of a mexican american gang are sentenced to san quentin for a murder they may not have committed. Daniel Valdez, Edward James Olmos, Charles Aidman, Tyne Daly, John Anderson, Abel Franco, Mike Gomez, Francis X. McCarthy, Alma Martínez, Lupe Ontiveros, Tony Plana Luis Valdez",zoot suit
Movie,The Soul,Cheng Wei-hao,"Chang Chen, Janine Chang, Christopher Lee, Anke Sun, Lin Hui-min, Samuel Ku, Zhang Bojia, Lu Hsueh-feng","China, Taiwan","April 14, 2021",2021,TV-MA,130 min,"Dramas, International Movies, Thrillers","while investigating the death of a businessman, a prosecutor and his wife uncover occult secrets as they face their own life-and-death dilemma.","while investigating the death of a businessman, a prosecutor and his wife uncover occult secrets as they face their own life-and-death dilemma. Chang Chen, Janine Chang, Christopher Lee, Anke Sun, Lin Hui-min, Samuel Ku, Zhang Bojia, Lu Hsueh-feng Cheng Wei-hao",the soul
TV Show,The Underclass,Pass Patthanakumjon,"Nannaphas Loetnamchoetsakun, Praewa Suthamphong, Sumitra Duangkaew, Tanutchai Wijitvongtong, Tarisa Preechatangkit, Natticha Chantaravareelekha, Miori Ohkubo, Pakwan Noijaiboon, Napaphat Worraphuttanon, Vathusiri Phuwapunyasiri, Rinrada Inthaisong, Suchaya Saenkhot, Mananya Kaoju, Kandis Wanarun, Ekapol Deebunmee, Panta Pattanaampaiwong, Rachaya Tupkunanon, Supasawad Buranawech, Thitirat Rojsangrat, Sawanee Utoomma, Phattharanarin Mueanarit, Chanyapuk Numprasop",Thailand,"April 14, 2021",2020,TV-MA,1 Season,"International TV Shows, TV Dramas, Teen TV Shows","after getting dropped from an elite program, a student gets tangled in the affairs of a high school gang while trying to find her own identity.","after getting dropped from an elite program, a student gets tangled in the affairs of a high school gang while trying to find her own identity. Nannaphas Loetnamchoetsakun, Praewa Suthamphong, Sumitra Duangkaew, Tanutchai Wijitvongtong, Tarisa Preechatangkit, Natticha Chantaravareelekha, Miori Ohkubo, Pakwan Noijaiboon, Napaphat Worraphuttanon, Vathusiri Phuwapunyasiri, Rinrada Inthaisong, Suchaya Saenkhot, Mananya Kaoju, Kandis Wanarun, Ekapol Deebunmee, Panta Pattanaampaiwong, Rachaya Tupkunanon, Supasawad Buranawech, Thitirat Rojsangrat, Sawanee Utoomma, Phattharanarin Mueanarit, Chanyapuk Numprasop Pass Patthanakumjon",the underclass
Movie,Uppena,Buchi Babu Sana,"Panja Vaisshnav Tej, Krithi Shetty, Vijay Sethupathi",India,"April 14, 2021",2020,TV-14,145 min,"Dramas, International Movies, Romantic Movies","the son of a fishing community falls for a village head's daughter, but they face violent opposition from the girl’s doggedly old-fashioned father.","the son of a fishing community falls for a village head's daughter, but they face violent opposition from the girl’s doggedly old-fashioned father. Panja Vaisshnav Tej, Krithi Shetty, Vijay Sethupathi Buchi Babu Sana",uppena
Movie,Motu Patlu in Hong Kong: Kung Fu Kings 3,Suhas Kadav,"Saurav Chakraborty, Sankalp Rastogi, Anamaya Varma, Aditya Raaj, Manoj Pandey",,"April 13, 2021",2017,TV-Y7,84 min,"Children & Family Movies, Music & Musicals","with a dangerous villain to defeat in hong kong, motu takes his martial arts skills to the next level, training with a boneless master to face the foe.","with a dangerous villain to defeat in hong kong, motu takes his martial arts skills to the next level, training with a boneless master to face the foe. Saurav Chakraborty, Sankalp Rastogi, Anamaya Varma, Aditya Raaj, Manoj Pandey Suhas Kadav",motu patlu in hong kong: kung fu kings 3
Movie,Motu Patlu in the City of Gold,Suhas Kadav,"Saurav Chakraborty, Ganesh Diweker, Arpita Vora, Manoj Pandey, Mayur Vyas, Sanjeev Tiwari, Nandkishore Pandey, Aditya Raaj",,"April 13, 2021",2018,TV-Y7,77 min,"Children & Family Movies, Comedies, Music & Musicals","defeated by the strong yet naive motu in a race, an evil horseback rider challenges him to a more dangerous mission: finding a lost city of treasure!","defeated by the strong yet naive motu in a race, an evil horseback rider challenges him to a more dangerous mission: finding a lost city of treasure! Saurav Chakraborty, Ganesh Diweker, Arpita Vora, Manoj Pandey, Mayur Vyas, Sanjeev Tiwari, Nandkishore Pandey, Aditya Raaj Suhas Kadav",motu patlu in the city of gold
Movie,Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,Suhas Kadav,"Saurav Chakraborty, Sanket Mhatre, Kamal Chaturvedi, Warren Dsouza, Trilok Patel, Manish Bhuvan",,"April 13, 2021",2018,TV-Y7,86 min,"Children & Family Movies, Music & Musicals","while in japan, best friends motu and patlu have only one month to train for an epic martial arts battle against two wicked but highly skilled brothers.","while in japan, best friends motu and patlu have only one month to train for an epic martial arts battle against two wicked but highly skilled brothers. Saurav Chakraborty, Sanket Mhatre, Kamal Chaturvedi, Warren Dsouza, Trilok Patel, Manish Bhuvan Suhas Kadav",motu patlu kung fu kings 4 the challenge of kung fu brothers
Movie,Motu Patlu the Superheroes – Super Villains from Mars,Suhas Kadav,Saurav Chakraborty,,"April 13, 2021",2019,TV-Y7,79 min,Children & Family Movies,"friends motu and patlu must save the world from three space thieves, but the job gets much harder when a cosmic collision gives the enemies superpowers!","friends motu and patlu must save the world from three space thieves, but the job gets much harder when a cosmic collision gives the enemies superpowers! Saurav Chakraborty Suhas Kadav",motu patlu the superheroes – super villains from mars
Movie,New Gods: Nezha Reborn,Zhao Ji,"Yang Tianxiang, Zhang He, Xuan Xiaoming, Li Shimeng",China,"April 12, 2021",2021,TV-14,118 min,"Action & Adventure, Anime Features, International Movies","while living as an ordinary deliveryman and motor racing fan, nezha encounters old nemeses and must rediscover his powers to protect his loved ones.","while living as an ordinary deliveryman and motor racing fan, nezha encounters old nemeses and must rediscover his powers to protect his loved ones. Yang Tianxiang, Zhang He, Xuan Xiaoming, Li Shimeng Zhao Ji",new gods: nezha reborn
Movie,The Stand-In,Jamie Babbit,"Drew Barrymore, Michael Zegen, T.J. Miller, Holland Taylor, Ellie Kemper, Andrew Rannells, Michelle Buteau",United States,"April 10, 2021",2020,R,102 min,Comedies,"her career in shambles, a reclusive movie star hires her stand-in to go to rehab for her, not expecting how much the look-alike will relish the role.","her career in shambles, a reclusive movie star hires her stand-in to go to rehab for her, not expecting how much the look-alike will relish the role. Drew Barrymore, Michael Zegen, T.J. Miller, Holland Taylor, Ellie Kemper, Andrew Rannells, Michelle Buteau Jamie Babbit",the stand-in
Movie,Night in Paradise,Park Hoon-jung,"Um Tae-goo, Jeon Yeo-been, Cha Seoung-won, Lee Ki-young, Park Ho-san",South Korea,"April 9, 2021",2021,TV-MA,132 min,"Dramas, International Movies","hiding out in jeju island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons.","hiding out in jeju island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons. Um Tae-goo, Jeon Yeo-been, Cha Seoung-won, Lee Ki-young, Park Ho-san Park Hoon-jung",night in paradise
Movie,Ojukokoro: Greed,Dare Olaitan,"Seun Ajayi, Zainab Balogun, Sammie Eddie, Linda Ejiofor, Charles Etubiebi, Shawn Faqua, Lord Frank, Ikubese Emmanuel Ifeanyi, Somkele Iyamah, Ali Nuhu, Wale Ojo",Nigeria,"April 9, 2021",2016,TV-MA,108 min,"Dramas, International Movies, Thrillers","down and out of luck, the manager of a shady gas station gets in over his head when he tries to steal from his grubby employers.","down and out of luck, the manager of a shady gas station gets in over his head when he tries to steal from his grubby employers. Seun Ajayi, Zainab Balogun, Sammie Eddie, Linda Ejiofor, Charles Etubiebi, Shawn Faqua, Lord Frank, Ikubese Emmanuel Ifeanyi, Somkele Iyamah, Ali Nuhu, Wale Ojo Dare Olaitan",ojukokoro: greed
Movie,Roohi,Hardik Mehta,"Rajkummar Rao, Varun Sharma, Janhvi Kapoor, Manav Vij, Sarita Joshi, Anuraag Arora, Alexx O'Nell, Rajesh Jais",India,"April 9, 2021",2021,TV-14,133 min,"Comedies, Horror Movies, International Movies","hired to kidnap a bride, two bumbling pals face a wacky predicament when one falls for their abductee — and the other, for the spirit possessing her.","hired to kidnap a bride, two bumbling pals face a wacky predicament when one falls for their abductee — and the other, for the spirit possessing her. Rajkummar Rao, Varun Sharma, Janhvi Kapoor, Manav Vij, Sarita Joshi, Anuraag Arora, Alexx O'Nell, Rajesh Jais Hardik Mehta",roohi
Movie,Thunder Force,Ben Falcone,"Melissa McCarthy, Octavia Spencer, Jason Bateman, Bobby Cannavale, Pom Klementieff, Melissa Leo, Taylor Mosby, Marcella Lowery, Melissa Ponzio",United States,"April 9, 2021",2021,PG-13,107 min,"Action & Adventure, Comedies",two childhood best friends reunite as an unlikely crime-fighting superhero duo when one invents a formula that gives ordinary people superpowers.,"two childhood best friends reunite as an unlikely crime-fighting superhero duo when one invents a formula that gives ordinary people superpowers. Melissa McCarthy, Octavia Spencer, Jason Bateman, Bobby Cannavale, Pom Klementieff, Melissa Leo, Taylor Mosby, Marcella Lowery, Melissa Ponzio Ben Falcone",thunder force
Movie,Two Distant Strangers,"Travon Free, Martin Desmond Roe","Joey Bada$$, Andrew Howard, Zaria",United States,"April 9, 2021",2021,TV-MA,32 min,Dramas,"in this oscar-nominated short film, a man trying to go home to his dog gets stuck in a time loop that forces him to relive a deadly run-in with a cop.","in this oscar-nominated short film, a man trying to go home to his dog gets stuck in a time loop that forces him to relive a deadly run-in with a cop. Joey Bada$$, Andrew Howard, Zaria Travon Free, Martin Desmond Roe",two distant strangers
Movie,Story of Kale: When Someone's in Love,Angga Dwimas Sasongko,"Ardhito Pramono, Aurélie Moeremans, Arya Saloka, Roy Sungkono, Gilbert Pohan, Azizah Hanum, Tanta Ginting",Indonesia,"April 8, 2021",2020,TV-PG,78 min,"Dramas, International Movies, Romantic Movies","after leaving a toxic relationship, dinda embarks on a romance with kale, whose view on love soon shatters as he wrestles with his own insecurities.","after leaving a toxic relationship, dinda embarks on a romance with kale, whose view on love soon shatters as he wrestles with his own insecurities. Ardhito Pramono, Aurélie Moeremans, Arya Saloka, Roy Sungkono, Gilbert Pohan, Azizah Hanum, Tanta Ginting Angga Dwimas Sasongko",story of kale: when someone's in love
Movie,The Last Kids on Earth: Happy Apocalypse to You,Steve Rolston,"Nick Wolfhard, Charles Demers, Montse Hernandez, Garland Whitt, Bruce Campbell, Catherine O'Hara, Brian Drummond, Giles Panton",,"April 6, 2021",2021,TV-Y7,92 min,"Children & Family Movies, Comedies","help jack and his monster-battling friends make choices to stay alive — and have some fun — in this interactive ""last kids on earth"" adventure!","help jack and his monster-battling friends make choices to stay alive — and have some fun — in this interactive ""last kids on earth"" adventure! Nick Wolfhard, Charles Demers, Montse Hernandez, Garland Whitt, Bruce Campbell, Catherine O'Hara, Brian Drummond, Giles Panton Steve Rolston",the last kids on earth: happy apocalypse to you
Movie,Mandela,Madonne Ashwin,"Yogi Babu, Sheela Rajkumar, Sangili Murugan, G. M. Sundhar",India,"April 5, 2021",2021,TV-14,140 min,"Comedies, Dramas, International Movies","amid a local election with two rivals vying to win by any means necessary, a barber lands in a curiously powerful position as the single deciding vote.","amid a local election with two rivals vying to win by any means necessary, a barber lands in a curiously powerful position as the single deciding vote. Yogi Babu, Sheela Rajkumar, Sangili Murugan, G. M. Sundhar Madonne Ashwin",mandela
Movie,The Fisherman's Diary,Enah Johnscott,"Kang Quintus, Faith Fidel, Casson Chinepoh, Ramsey Nouah, Ndamo Damaris, Neba Godwill Awantu, Onyama Laura, Prince Sube, Daphne Nije, Zoe Elora Ebai Mayohchu",Cameroon,"April 4, 2021",2020,TV-MA,143 min,"Dramas, International Movies","inspired by nobel peace prize winner malala yousafzai, a young girl defies the expectations of her father and village to pursue an education","inspired by nobel peace prize winner malala yousafzai, a young girl defies the expectations of her father and village to pursue an education Kang Quintus, Faith Fidel, Casson Chinepoh, Ramsey Nouah, Ndamo Damaris, Neba Godwill Awantu, Onyama Laura, Prince Sube, Daphne Nije, Zoe Elora Ebai Mayohchu Enah Johnscott",the fisherman's diary
Movie,What Lies Below,Braden R. Duemmler,"Ema Horvath, Trey Tucker, Mena Suvari, Haskiri Velazquez, Danny Corbo, Olan Montgomery, Troy Iwata",United States,"April 4, 2021",2020,TV-MA,88 min,"Horror Movies, Thrillers","back home at her lake house, a teenager begins to suspect that a sinister force lurks beneath the surface of her mother's too-perfect new lover.","back home at her lake house, a teenager begins to suspect that a sinister force lurks beneath the surface of her mother's too-perfect new lover. Ema Horvath, Trey Tucker, Mena Suvari, Haskiri Velazquez, Danny Corbo, Olan Montgomery, Troy Iwata Braden R. Duemmler",what lies below
Movie,Escape from Planet Earth,Cal Brunker,"Rob Corddry, Brendan Fraser, Sarah Jessica Parker, William Shatner, Jessica Alba, Jane Lynch, George Lopez, Sofía Vergara, Craig Robinson, Ricky Gervais, Steve Zahn, Chris Parnell","United States, Canada","April 3, 2021",2013,PG,89 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","this all-ages animated comedy follows the adventures of astronaut scorch supernova, a hero of the blue aliens who has a vast appetite for adventure.","this all-ages animated comedy follows the adventures of astronaut scorch supernova, a hero of the blue aliens who has a vast appetite for adventure. Rob Corddry, Brendan Fraser, Sarah Jessica Parker, William Shatner, Jessica Alba, Jane Lynch, George Lopez, Sofía Vergara, Craig Robinson, Ricky Gervais, Steve Zahn, Chris Parnell Cal Brunker",escape from planet earth
Movie,Accepted,Steve Pink,"Justin Long, Jonah Hill, Adam Herschman, Columbus Short, Maria Thayer, Lewis Black, Blake Lively, Mark Derwin, Ann Cusack, Robin Lord Taylor, Hannah Marks, Anthony Heald",United States,"April 2, 2021",2006,PG-13,93 min,Comedies,"rejected by every college he applied to, a high school senior invents a fake university that will fool his parents and help his fellow outcasts.","rejected by every college he applied to, a high school senior invents a fake university that will fool his parents and help his fellow outcasts. Justin Long, Jonah Hill, Adam Herschman, Columbus Short, Maria Thayer, Lewis Black, Blake Lively, Mark Derwin, Ann Cusack, Robin Lord Taylor, Hannah Marks, Anthony Heald Steve Pink",accepted
Movie,Air Strike,Xiao Feng,"Bruce Willis, Liu Ye, Song Seung-heon, William Chan Wai-ting, Fan Wei, Wu Gang, Ma Su, Janine Chang, Che Yongli, Feng Yuanzheng, Geng Le",China,"April 2, 2021",2018,R,97 min,"Action & Adventure, Dramas, International Movies",the residents of chongqing try to survive japanese air raids as a u.s. military advisor trains a squadron of chinese pilots desperate to fight back.,"the residents of chongqing try to survive japanese air raids as a u.s. military advisor trains a squadron of chinese pilots desperate to fight back. Bruce Willis, Liu Ye, Song Seung-heon, William Chan Wai-ting, Fan Wei, Wu Gang, Ma Su, Janine Chang, Che Yongli, Feng Yuanzheng, Geng Le Xiao Feng",air strike
